GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pc,com.cts.academy.pc,PublishingClient,4,0,0,0,2,0,2,0,2,0
pc,com.cts.academy.pc.configuration,AppProperties,0,33,0,0,0,11,0,11,0,11
